text,id,userid,username,created_at,likes,retweets,isquote,is_retweet,mentions,hashtags,reply_to,geo,place,text_clean
"@taegicasa_ salah ht, yang ini uda gabisaa trending ini yang bener #BlackLivesMatters",1266609515916451846,1102084725030580224,taeggif,2020-05-30 05:56:55,0,0,False,False,['taegicasa_'],['BlackLivesMatters'],1.2666091991670252e+18,,,taegicasa_ ht uda gabisaa trending bener blacklivesmatters
"Yg belom,sign semuanyaa
#BlackLivesMatters  #RAISETHEDEGREE
 https://t.co/SPDvxEZqEd",1266609515870318594,1016890670672273408,woolseok,2020-05-30 05:56:55,0,0,False,False,[],"['BlackLivesMatters', 'RAISETHEDEGREE']",,,,belomsign semuanyaa blacklivesmatters raisethedegree
"Kalo Rt/Rep
#RAISETHEDEGREE
#BlackLivesMatters
#RAISETHEDEGREE
#BlackLivesMatters
#RAISETHEDEGREE
#BlackLivesMatters
#RAISETHEDEGREE
#BlackLivesMatters",1266609510937882626,1123510075136413696,iam_uun,2020-05-30 05:56:54,0,0,False,False,[],"['RAISETHEDEGREE', 'BlackLivesMatters', 'RAISETHEDEGREE', 'BlackLivesMatters', 'RAISETHEDEGREE', 'BlackLivesMatters', 'RAISETHEDEGREE', 'BlackLivesMatters']",,,,kalo rtrep raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters
"@cocotaetree @choiheerung rt/rep nanti aku kasih stoberi🍓🍓🍓
 #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609477278560256,999228979331530752,zeainhere,2020-05-30 05:56:46,0,0,False,False,"['cocotaetree', 'choiheerung']","['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",1.2666005991449846e+18,,,cocotaetree choiheerung rtrep kasih stoberi blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"Tolong rt/rep yaa kalo ini lwt ditl kalian

#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE
#BlacklivesMaters #RAISETHEDEGREE",1266609414410137600,858305092033757185,lovebeyondbts,2020-05-30 05:56:31,0,0,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,rtrep yaa kalo lwt ditl blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"Yukk naikin hastag 

#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters",1266609413957115906,1263002627677143040,sdvgirll,2020-05-30 05:56:31,3,2,False,False,[],"['BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters']",,,,yukk naikin hastag blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters blacklivesmatters
"Hareudang geshh. Rt aja uda
#BlackLivesMatters 
#BlackLivesMatters 
#BlackLivesMatters 
#RAISETHEDEGREE 
#RAISETHEDEGREE 
#RAISETHEDEGREE",1266609404176039937,1147359027199766528,lachimolalakook,2020-05-30 05:56:29,0,3,False,False,[],"['BlackLivesMatters', 'BlackLivesMatters', 'BlackLivesMatters', 'RAISETHEDEGREE', 'RAISETHEDEGREE', 'RAISETHEDEGREE']",,,,hareudang ges rt aja uda blacklivesmatters blacklivesmatters blacklivesmatters raisethedegree raisethedegree raisethedegree
"Yang liat plis tolong banget RT/REP 🙏
 
#BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE #BlacklivesMaters #RAISETHEDEGREE",1266609400648613888,1091328452580433920,miliunsboo,2020-05-30 05:56:28,2,12,False,False,[],"['BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE', 'BlacklivesMaters', 'RAISETHEDEGREE']",,,,liat plis banget rtrep blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree blacklivesmaters raisethedegree
"ini tuh bukan buat people in american doang sih, kalo justice di amerika thd black people bisa berubah kemungkinan seluruh dunia juga bisa, thats why i wont silent u can mute me #BlackLivesMatters #RAISETHEDEGREE",1266609377546432514,1227663388290928640,rosbyrvr,2020-05-30 05:56:22,9,15,False,False,[],"['BlackLivesMatters', 'RAISETHEDEGREE']",,,,tuh people in american doang sih kalo justice amerika thd black people berubah dunia thats why i wont silent u can mute me blacklivesmatters raisethedegree
"Kalo lewat Rt/Rep
#RAISETHEDEGREE
#BlackLivesMatters
#RAISETHEDEGREE
#BlackLivesMatters
#RAISETHEDEGREE
#BlackLivesMatters
#RAISETHEDEGREE
#BlackLivesMatters",1266609367593283586,1123510075136413696,iam_uun,2020-05-30 05:56:20,0,0,False,False,[],"['RAISETHEDEGREE', 'BlackLivesMatters', 'RAISETHEDEGREE', 'BlackLivesMatters', 'RAISETHEDEGREE', 'BlackLivesMatters', 'RAISETHEDEGREE', 'BlackLivesMatters']",,,,kalo rtrep raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters raisethedegree blacklivesmatters
